nome;descricao;tipo
Supino reto com barra;Trabalha peitoral maior, deltoide anterior e tríceps. Deite no banco, segure a barra na largura dos ombros e desça até o peito;MUSCULACAO
Supino inclinado com barra;Foco no peitoral superior. Banco inclinado entre 30 e 45 graus;MUSCULACAO
Supino declinado com barra;Foco no peitoral inferior. Banco declinado;MUSCULACAO
Supino reto com halteres;Maior amplitude de movimento que a barra. Trabalha estabilizadores;MUSCULACAO
Supino inclinado com halteres;Peitoral superior com maior recrutamento de estabilizadores;MUSCULACAO
Crucifixo reto com halteres;Isolamento do peitoral. Movimento amplo de abertura;MUSCULACAO
Crucifixo inclinado com halteres;Isolamento do peitoral superior;MUSCULACAO
Crossover na polia;Aperto final do peitoral. Convergência no centro;MUSCULACAO
Peck deck;Isolamento do peitoral na máquina voador;MUSCULACAO
Flexão de braço;Exercício livre para peito, tríceps e core;MUSCULACAO
Mergulho em paralelas;Peitoral inferior e tríceps. Tronco inclinado para frente foca peito;MUSCULACAO
Puxada frontal na barra;Trabalha latíssimo do dorso. Pegada pronada na largura dos ombros;MUSCULACAO
Puxada na barra fixa;Pull-up. Peso corporal trabalha dorsais e bíceps;MUSCULACAO
Remada curvada com barra;Trabalha dorsal médio, romboides e trapézio. Tronco a 45 graus;MUSCULACAO
Remada baixa máquina;Sentado, puxar para abdômen. Foco no dorsal médio;MUSCULACAO
Remada cavalinho;T-bar row. Trabalha dorsal médio e inferior;MUSCULACAO
Remada unilateral com halter;Apoiado no banco. Trabalha um lado por vez;MUSCULACAO
Pulldown reto;Cabo com barra reta. Foco em dorsal inferior;MUSCULACAO
Hiperextensão lombar;Banco romano. Trabalha eretores da espinha;MUSCULACAO
Levantamento terra;Deadlift. Cadeia posterior completa: lombar, glúteo, posterior de coxa;MUSCULACAO
Pullover;Halter ou barra. Trabalha dorsal e serrátil;MUSCULACAO
Desenvolvimento militar com barra;Em pé ou sentado. Trabalha deltoide e tríceps;MUSCULACAO
Desenvolvimento Arnold;Halteres com rotação dos punhos. Trabalha todas porções do deltoide;MUSCULACAO
Desenvolvimento com halteres;Sentado. Maior amplitude que a barra;MUSCULACAO
Elevação lateral;Halteres ou cabo. Isolamento do deltoide médio;MUSCULACAO
Elevação frontal;Halteres ou anilha. Isolamento do deltoide anterior;MUSCULACAO
Crucifixo invertido;Halteres ou peck deck inverso. Trabalha deltoide posterior;MUSCULACAO
